,N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
2217,0,1,3,0,0,0,2,2,2,0,1,0,2,1,1,0,0,0,0,0,1,1,0,2,1,0,1,1,1,1,1,1,2,1,2,0,1,0,0,3,1,2,2,2,1,2,1,1,1,2,1,0,3,1,1,1
2218,1,1,0,0,0,0,2,2,2,1,0,2,2,1,1,0,0,0,2,0,1,1,0,0,1,3,9,0,1,2,1,2,2,0,0,2,1,1,2,0,9,2,2,2,0,2,2,1,2,2,6,1,1,0,0,0
2219,2,1,0,0,0,1,2,1,1,1,2,2,2,1,2,2,0,0,2,2,2,2,2,1,1,0,10,0,0,0,2,2,0,2,2,0,4,1,0,3,10,0,0,0,3,2,0,0,1,2,0,4,1,0,1,2
2220,3,3,0,0,0,0,1,2,2,1,2,2,2,0,0,3,2,1,1,1,2,2,3,2,2,3,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,2,1,1,1,1,1,0,1,0,3,1,0,4
2221,1,1,2,0,0,0,1,0,0,1,2,2,2,2,0,1,1,1,0,2,0,0,1,1,0,3,6,1,1,1,1,1,2,2,0,1,3,0,2,1,6,1,1,0,1,3,2,1,1,2,1,3,1,3,0,1
2222,0,0,0,0,0,0,1,2,2,1,2,2,2,2,0,2,1,1,0,2,2,2,0,2,0,1,3,0,1,2,2,1,0,2,0,2,2,0,0,0,3,0,0,0,4,0,2,1,2,0,3,1,2,1,0,5
2223,3,3,0,1,1,3,0,3,3,1,2,2,2,0,0,2,2,2,1,1,1,1,1,1,0,1,0,0,3,2,1,0,0,2,0,2,0,1,0,0,0,2,2,2,0,2,0,0,0,0,6,3,0,3,1,0
2224,2,1,0,0,0,0,1,2,2,0,0,0,2,2,0,0,0,0,2,2,2,2,2,1,2,1,3,0,1,2,2,1,3,0,1,1,2,1,3,2,3,1,1,2,4,0,2,0,3,1,3,0,2,1,0,1
2225,3,2,1,1,1,2,2,3,3,0,2,2,2,0,0,0,0,0,2,2,1,1,0,0,0,3,3,0,0,0,1,1,0,0,0,0,2,1,2,1,3,2,2,2,4,0,2,1,2,1,3,0,2,2,1,1
2226,0,3,0,0,0,0,1,0,2,1,2,2,2,0,0,3,2,0,0,2,2,2,2,1,2,3,4,0,1,2,2,2,0,0,1,1,0,0,0,3,4,1,0,2,5,2,2,1,0,1,0,3,3,2,0,2
2227,2,1,0,0,0,0,1,1,3,0,0,0,0,1,2,2,2,2,1,1,1,1,2,1,0,0,10,0,1,2,1,2,3,0,1,1,4,0,1,3,10,1,1,0,5,2,2,0,1,0,0,3,0,0,1,0
2228,1,3,0,0,0,3,3,3,1,1,2,2,2,1,1,3,0,1,2,0,2,2,1,2,1,0,1,1,1,0,0,1,2,1,1,1,1,0,3,1,1,0,0,0,6,3,2,0,1,1,1,0,1,1,0,1
2229,2,1,3,1,1,0,1,0,0,1,2,2,2,2,2,3,1,1,0,1,2,2,1,2,0,0,3,0,1,1,1,1,0,0,1,1,2,1,2,3,3,0,0,0,4,2,0,0,3,1,3,3,2,2,0,5
2230,3,1,1,0,0,0,1,0,0,1,0,2,2,0,0,2,1,0,0,1,1,1,3,0,2,3,8,0,0,0,0,5,1,0,0,0,1,0,2,1,8,1,1,2,1,1,1,2,0,0,2,3,0,3,0,5
2231,3,3,3,3,3,2,3,1,1,0,0,0,1,1,1,3,0,2,2,0,0,0,0,0,1,3,4,0,1,2,0,2,0,0,0,0,0,0,0,1,4,0,0,0,5,2,0,1,0,1,0,3,1,2,0,5
2232,3,1,0,3,3,1,3,3,3,0,2,0,1,1,1,2,0,2,1,0,1,1,1,0,1,0,6,1,0,2,2,1,1,0,2,0,3,3,2,2,6,1,1,1,6,2,1,1,1,0,4,4,2,2,0,1
2233,3,1,2,1,1,3,3,3,1,0,0,0,2,2,0,1,1,0,2,2,2,2,0,0,0,0,6,1,2,0,0,1,0,0,1,2,3,1,2,0,6,1,1,0,4,3,2,1,0,0,1,3,1,2,0,1
2234,0,0,3,2,2,2,1,1,3,1,0,2,2,1,1,0,0,2,1,0,2,2,2,1,1,1,6,1,1,1,1,1,2,1,2,1,3,0,2,1,6,0,0,0,1,1,2,0,0,1,4,3,1,0,0,1
2235,0,0,0,2,2,3,2,2,2,1,2,2,2,2,2,0,1,1,1,0,0,0,0,0,0,0,7,0,1,2,0,4,2,2,0,2,1,0,1,2,7,1,1,0,1,1,0,1,0,1,5,2,2,0,1,1
2236,3,1,0,1,1,2,3,3,3,1,0,0,1,0,0,1,2,1,0,2,1,1,2,1,0,1,3,0,1,0,0,1,2,1,1,1,2,0,0,0,3,0,0,0,4,3,2,1,2,0,3,3,2,0,0,5
2237,1,1,3,1,1,2,1,3,3,0,2,2,0,0,0,2,1,1,0,1,2,2,3,0,0,3,9,0,1,2,2,2,0,0,1,2,1,1,1,1,9,0,0,0,5,2,2,2,0,2,6,3,0,1,0,3
2238,0,2,2,3,3,0,1,1,3,1,2,2,1,2,0,0,0,0,2,2,1,1,2,1,1,1,0,0,2,0,2,0,0,0,2,0,0,0,2,2,0,1,0,0,5,0,0,0,0,2,0,1,0,3,1,0
2239,2,1,0,0,0,1,1,0,0,1,2,2,2,0,0,0,0,1,0,0,2,2,1,0,0,0,1,1,1,1,1,1,3,2,1,2,1,0,1,2,1,0,0,0,1,3,0,1,3,0,1,4,1,3,1,3
2240,3,1,0,1,1,0,1,0,1,0,0,1,1,0,0,3,2,0,0,1,0,0,2,2,0,5,7,0,0,0,0,4,0,2,0,2,1,0,2,3,7,1,1,0,2,1,0,2,2,0,1,1,1,0,1,0
2241,0,2,0,1,1,2,1,3,3,0,1,0,0,2,2,1,0,1,2,0,2,2,2,1,0,5,1,1,0,2,2,1,0,0,0,2,1,2,3,2,1,2,2,2,1,2,1,1,3,1,4,4,1,1,1,5
2242,3,1,0,1,1,2,2,0,1,1,1,2,2,2,0,3,2,1,1,2,2,2,0,2,0,0,5,0,1,2,2,3,2,0,2,0,2,1,1,1,5,1,1,0,0,1,1,1,1,1,4,2,0,0,0,5
2243,2,2,3,3,3,3,3,1,3,0,0,2,0,2,2,1,1,0,0,0,1,1,0,2,1,5,10,0,1,2,1,2,0,1,0,2,4,1,0,0,10,1,1,1,4,0,0,0,2,1,0,1,1,0,1,4
2244,0,1,0,2,2,1,3,3,1,0,0,0,2,0,0,3,2,0,1,1,0,0,0,2,2,3,10,0,2,0,0,2,2,0,2,2,4,0,0,0,10,0,0,2,3,2,0,0,2,1,1,4,3,0,1,0
2245,1,0,0,0,0,0,1,0,0,1,1,0,2,0,0,3,2,0,0,1,0,0,3,0,1,1,6,1,1,1,0,1,0,0,0,2,3,1,0,0,6,0,0,0,4,1,1,1,0,1,1,4,3,1,0,3
2246,1,3,0,1,1,2,1,0,1,0,0,0,2,2,2,2,0,2,1,2,2,2,3,0,0,1,5,0,3,2,2,3,0,2,2,0,2,0,2,3,5,1,1,0,1,3,2,0,0,1,3,1,1,3,0,5
2247,1,2,1,2,2,3,2,0,0,0,2,0,0,2,0,2,2,1,1,1,2,2,2,1,0,3,6,1,1,1,1,1,2,0,0,2,3,0,0,3,6,1,1,0,6,3,1,2,0,0,2,0,0,0,0,4
2248,0,1,2,0,0,0,1,2,2,0,2,2,2,1,1,2,0,0,2,0,0,0,2,0,1,0,10,0,1,0,0,2,0,0,1,1,4,0,3,2,10,1,1,1,6,3,0,0,1,2,0,1,3,1,1,5
2249,1,2,2,1,1,0,2,0,2,0,2,2,2,1,1,3,0,2,0,0,1,1,1,2,1,1,7,0,2,0,2,4,0,0,1,1,1,1,1,3,7,1,0,0,3,1,0,1,1,0,6,1,3,3,1,0
2250,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,0,2,1,4,0,1,1,0,2,0,0,1,1,0,0,1,2,4,1,1,2,6,3,2,2,0,2,0,3,1,2,0,2
2251,0,1,1,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,2,2,2,2,0,0,0,3,3,0,0,0,0,1,2,0,0,0,2,0,2,1,3,1,0,0,0,2,0,0,2,1,3,1,3,0,0,5
2252,0,2,0,3,3,0,1,0,0,0,0,1,0,0,0,1,2,1,0,2,1,1,1,1,0,4,0,0,0,0,0,0,2,0,1,1,0,1,2,3,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,3
2253,3,0,0,1,1,0,3,0,1,0,2,0,1,0,0,3,2,0,1,2,1,1,3,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,3,0,0,0,0,4,0,0,0,0,0,6,3,0,0,1,5
2254,1,3,0,0,0,3,1,2,0,1,1,0,1,2,0,2,1,0,0,1,0,0,0,0,1,0,10,0,1,2,0,2,2,2,2,0,4,1,0,0,10,2,2,2,0,0,0,2,0,0,0,3,3,0,1,4
2255,0,1,0,0,0,0,0,3,1,0,0,0,0,2,2,3,2,1,1,2,0,0,0,2,0,0,5,0,1,2,0,3,0,0,1,1,2,1,1,1,5,1,1,0,2,3,1,0,1,1,3,0,3,0,0,5
2256,1,0,0,2,2,1,0,1,2,0,0,2,2,2,0,0,0,0,0,2,2,2,0,0,1,3,9,0,2,0,0,2,0,2,1,2,1,2,1,2,9,1,1,1,5,0,2,1,0,2,5,3,0,3,0,3
2257,1,2,0,0,0,0,2,2,0,0,0,0,0,2,0,2,2,0,1,1,2,2,1,1,0,0,10,0,3,1,1,2,3,0,1,1,4,0,0,0,10,0,0,0,4,2,2,0,1,1,5,0,0,3,1,2
2258,3,0,0,3,3,3,1,0,1,1,2,2,0,0,0,0,0,0,1,0,1,1,2,1,1,4,5,0,1,0,2,3,2,0,2,1,2,1,2,3,5,0,0,0,3,3,1,1,0,1,4,0,0,0,0,5
2259,0,1,3,3,3,3,1,2,0,1,0,2,0,2,0,0,0,0,2,0,1,1,1,1,2,3,2,0,1,1,1,2,0,1,2,0,1,0,0,0,2,2,2,2,2,0,2,0,0,0,6,2,1,0,0,2
2260,2,1,0,0,0,3,2,0,0,0,1,1,1,1,1,3,0,0,2,0,2,2,0,1,1,3,9,0,0,0,0,2,2,2,2,1,1,0,2,2,9,1,1,1,3,2,2,2,2,2,5,4,3,1,1,1
2261,2,1,0,0,0,3,2,2,2,0,0,0,0,0,0,2,2,1,0,1,0,0,2,1,1,0,1,1,1,2,0,1,0,1,1,1,1,0,2,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,0,1
2262,0,1,2,0,0,2,0,2,2,1,0,2,2,2,0,1,2,1,1,2,0,0,1,1,0,0,1,1,1,2,0,1,0,2,0,1,1,0,1,1,1,1,1,0,4,3,2,1,3,0,4,0,1,1,0,1
2263,2,1,2,1,1,0,1,0,1,1,2,2,0,0,0,1,1,0,0,1,1,1,1,2,0,4,9,0,1,2,1,2,0,0,0,0,1,1,2,0,9,2,2,2,0,0,2,2,2,0,6,1,1,3,1,2
2264,2,0,1,2,2,0,1,0,2,1,1,2,2,2,0,2,2,0,0,1,0,0,3,0,0,0,7,0,1,1,2,4,0,1,0,0,1,1,3,2,7,1,1,0,2,1,0,1,2,1,1,0,3,3,1,3
2265,2,3,2,1,1,1,1,1,3,1,0,2,2,0,0,1,2,0,0,1,2,2,2,2,1,3,8,0,1,2,2,5,0,0,1,1,1,0,2,3,8,0,1,1,1,3,1,2,0,0,3,4,0,3,0,3
2266,0,2,0,2,2,3,2,0,2,0,0,0,0,2,0,1,2,1,0,2,0,0,0,2,0,0,3,0,3,1,0,1,2,0,1,1,2,2,2,2,3,1,1,0,4,1,0,1,1,1,1,0,2,3,0,5
2267,3,1,0,3,3,0,2,2,1,1,2,2,0,1,1,2,0,1,0,0,2,2,1,0,1,4,6,1,1,1,2,1,0,2,1,2,3,1,1,1,6,1,1,1,3,1,2,1,2,1,1,4,0,2,1,1
2268,1,0,2,0,0,1,2,1,1,1,0,2,2,0,0,2,2,0,1,1,1,1,2,1,2,5,9,0,1,2,1,2,0,0,1,1,1,0,1,2,9,1,1,2,3,2,2,2,0,1,6,4,0,1,1,3
2269,1,1,0,0,0,3,1,0,0,0,0,0,0,2,2,2,0,0,1,0,1,1,0,2,1,1,4,0,1,2,1,2,0,2,0,2,0,1,3,2,4,1,2,2,5,2,2,2,0,1,0,3,0,2,0,3
2270,2,1,0,0,0,0,1,0,0,1,0,2,0,0,0,3,2,1,0,1,0,0,1,1,0,1,10,0,1,1,0,2,0,0,1,1,4,1,1,3,10,1,1,0,0,0,0,1,3,2,5,0,2,1,1,4
2271,2,0,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,2,2,3,0,1,0,5,0,3,1,1,3,0,2,2,0,2,0,1,1,5,1,1,1,1,3,0,0,0,0,2,0,0,3,1,5
2272,0,1,0,0,0,2,0,0,0,0,2,1,1,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,2,0,0,0,3,2,2,0,0,1,2,1,0,1,1,0,0,0,0,1,0,2,6,3,0,2,1,3
2273,1,1,0,0,0,1,1,3,1,1,0,2,2,0,0,2,1,1,1,1,0,0,2,2,1,5,5,0,1,2,0,3,0,1,0,2,2,0,2,3,5,1,1,1,1,3,1,0,1,1,5,0,0,2,0,3
2274,0,1,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0,2,2,2,1,1,5,4,0,3,1,1,2,2,0,0,1,0,0,2,2,4,1,1,1,3,2,2,2,0,1,2,3,1,2,0,3
2275,2,2,0,3,3,1,1,3,3,1,0,0,1,2,0,0,2,2,1,0,1,1,1,2,0,1,9,0,1,2,2,2,3,2,1,1,1,0,0,0,9,2,2,2,2,0,0,2,0,0,1,1,0,1,0,3
2276,1,3,0,0,0,0,2,0,0,1,1,2,2,2,0,1,1,1,0,1,1,1,0,2,0,3,1,1,0,0,0,1,0,0,1,1,1,0,2,3,1,0,2,2,5,0,1,0,1,1,2,0,1,1,1,5
2277,1,2,1,0,0,0,1,1,3,0,0,0,0,1,1,2,0,1,0,0,1,1,3,0,1,1,4,0,1,2,1,2,2,2,2,0,0,2,3,2,4,1,1,1,0,2,2,1,0,1,0,3,0,2,0,3
2278,3,1,3,3,3,1,1,3,3,1,0,2,0,0,0,3,2,2,1,2,1,1,1,1,1,2,6,1,3,1,1,1,0,1,0,1,3,0,2,1,6,1,1,1,1,1,2,2,2,1,2,3,1,1,1,1
2279,3,0,2,0,0,2,1,1,1,2,1,1,1,2,2,1,0,1,2,2,0,0,0,0,1,4,9,0,0,2,2,2,0,0,0,0,1,2,2,1,9,0,0,0,3,0,2,2,2,2,6,3,0,1,1,0
2280,2,0,3,1,1,0,1,0,0,1,1,2,2,2,2,0,0,2,1,0,2,2,2,2,0,4,7,0,2,0,0,4,0,2,2,0,1,2,0,2,7,1,1,0,2,3,2,2,1,2,3,0,2,1,0,0
2281,2,1,0,0,0,1,2,1,1,0,0,0,0,1,1,2,0,1,0,0,0,0,2,2,1,1,3,0,2,0,0,1,2,1,0,2,2,1,1,1,3,2,2,2,4,1,0,2,2,1,3,4,2,2,0,1
2282,1,1,0,0,0,1,1,1,1,0,2,2,2,0,0,2,1,1,0,1,0,0,1,0,0,1,7,0,1,2,0,4,0,2,2,0,1,0,1,1,7,1,1,0,0,2,1,2,2,0,2,4,3,0,1,0
2283,0,0,0,2,2,0,1,0,0,2,0,2,2,0,0,2,2,2,1,1,0,0,2,1,2,5,9,0,2,0,0,2,0,0,1,1,1,0,2,1,9,0,0,2,6,2,0,2,0,2,0,1,0,2,0,0
2284,3,0,2,0,0,2,1,3,3,1,0,0,0,2,0,0,0,1,1,0,2,2,2,1,2,1,4,0,1,2,2,2,0,2,2,0,0,1,2,0,4,1,1,2,0,3,0,1,0,2,1,3,0,2,0,3
2285,3,3,0,1,1,2,1,1,1,0,0,0,1,0,0,2,1,1,0,1,0,0,2,1,1,0,2,0,1,2,0,2,2,2,0,1,1,0,2,3,2,1,1,1,0,1,0,0,0,2,2,4,1,0,1,3
2286,2,3,0,1,1,1,2,3,3,0,2,0,1,2,0,1,1,1,0,1,0,0,1,0,2,4,2,0,0,0,0,2,0,2,0,2,1,1,1,3,2,1,1,2,5,0,2,2,1,2,4,0,2,3,1,2
2287,3,0,2,1,1,1,0,1,1,2,0,1,1,1,1,0,0,0,2,0,0,0,2,2,1,1,5,0,1,2,0,3,0,0,1,2,2,2,2,2,5,1,1,1,3,3,1,1,0,0,5,2,0,0,1,5
2288,3,1,3,1,1,1,2,1,3,1,0,2,2,0,0,3,2,0,0,1,0,0,1,2,2,3,9,0,1,2,0,2,2,0,0,2,1,3,2,2,9,1,1,2,0,0,2,1,2,0,2,2,0,1,0,3
2289,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,1,9,0,3,1,2,2,0,1,1,2,1,0,2,2,9,1,1,0,4,2,0,2,0,2,3,3,0,3,0,2
2290,0,1,3,1,1,2,2,3,3,1,2,2,2,2,0,3,2,0,0,1,2,2,0,2,2,0,2,0,1,2,2,2,2,0,2,0,1,0,2,2,2,1,1,2,5,0,0,2,1,0,2,2,2,1,1,2
2291,3,1,0,1,1,2,2,1,1,0,1,0,0,1,2,2,2,2,1,2,2,2,1,2,1,0,9,0,1,0,0,2,0,1,0,1,1,0,2,1,9,1,1,1,0,0,2,2,0,1,6,3,0,1,0,0
2292,1,1,2,1,1,3,0,1,1,1,0,0,0,0,0,1,0,2,2,1,0,0,1,2,2,3,4,0,0,2,0,2,2,1,2,0,0,0,2,2,4,1,1,2,1,0,1,1,0,1,6,3,1,2,0,3
2293,2,0,0,0,0,3,1,2,0,0,0,0,0,2,2,1,0,0,2,0,2,2,2,1,0,0,6,1,0,0,0,1,0,2,0,1,3,0,0,3,6,2,2,2,3,3,2,1,3,1,2,3,0,3,1,1
2294,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,2,2,1,0,1,1,2,1,0,3,4,0,0,2,1,2,2,0,1,1,0,0,1,2,4,1,1,0,0,2,2,1,0,1,2,3,1,2,0,3
2295,1,1,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,4,0,1,1,2,2,2,0,1,2,0,1,2,0,4,0,0,0,6,1,1,0,0,1,6,1,0,2,0,3
2296,2,0,2,0,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0,2,0,0,0,1,2,0,6,1,1,1,2,1,0,2,1,1,3,1,2,1,6,1,1,2,1,2,2,0,0,0,1,3,0,3,1,1
2297,3,1,0,3,3,0,1,2,0,0,2,0,0,0,0,0,0,1,2,2,2,2,0,1,1,3,9,0,1,2,2,2,0,2,2,1,1,2,1,2,9,1,1,1,6,0,2,1,0,2,2,3,0,1,1,3
2298,2,1,0,0,0,3,1,0,2,0,0,0,0,0,0,2,2,0,0,1,2,2,2,1,0,0,4,0,0,2,2,2,2,2,2,2,0,0,2,2,4,0,0,0,0,2,0,1,0,0,0,3,3,2,0,3
2299,1,1,0,0,0,0,1,0,0,1,2,2,2,1,1,1,0,1,0,0,1,1,0,2,1,1,0,0,1,1,1,0,1,2,2,2,0,1,2,0,0,0,0,0,5,1,0,1,1,2,3,1,0,1,0,0
2300,3,1,1,0,0,1,0,1,1,1,2,2,2,1,2,2,2,0,0,2,1,1,2,1,1,3,4,0,1,1,1,2,0,1,0,2,0,1,0,0,4,0,0,0,0,1,2,2,2,1,4,3,1,2,0,3
2301,0,0,0,2,2,1,0,3,1,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,1,3,6,1,1,2,2,1,0,0,1,2,3,1,1,1,6,1,1,1,6,2,1,2,0,0,4,3,1,1,0,1
2302,1,3,0,0,0,0,1,0,0,0,2,2,2,2,0,3,2,2,1,1,2,2,3,2,0,2,6,1,0,2,0,1,0,2,2,0,3,2,2,2,6,0,0,0,1,0,1,1,0,1,1,3,0,1,0,1
2303,2,2,3,3,3,0,0,1,1,2,0,1,1,2,0,1,1,0,0,1,0,0,0,0,0,1,9,0,1,1,0,2,2,2,2,0,1,0,3,3,9,1,1,0,1,1,1,1,0,2,0,3,0,1,0,3
2304,1,3,0,0,0,2,2,1,1,1,1,0,0,2,2,3,2,1,1,2,0,0,1,2,0,3,5,0,0,0,0,3,2,0,2,0,2,0,1,3,5,1,1,0,3,3,1,0,1,1,6,0,3,1,0,5
2305,1,1,3,3,3,0,0,1,3,1,2,2,2,0,0,0,0,1,2,0,1,1,0,0,0,1,9,0,2,0,1,2,1,1,1,0,1,2,2,2,9,1,1,0,0,2,2,2,0,2,3,3,1,1,0,3
2306,3,1,0,1,1,3,3,3,3,0,2,2,2,2,0,3,2,1,0,1,2,2,0,2,1,1,4,0,1,1,1,2,0,0,1,1,0,1,2,3,4,1,1,1,0,2,0,1,0,1,0,3,3,2,0,3
2307,3,1,1,2,2,0,2,2,2,0,2,2,2,1,1,2,0,0,0,0,0,0,2,2,1,3,10,0,1,2,0,2,2,2,2,0,4,0,1,1,10,2,2,2,0,0,2,1,0,1,0,3,3,0,1,1
2308,1,1,0,0,0,0,3,2,0,1,2,2,2,0,0,2,2,0,1,1,1,1,3,2,1,3,0,0,1,1,1,0,0,2,2,0,0,1,3,1,0,1,1,1,4,0,0,0,0,2,5,3,0,3,0,3
2309,2,2,3,3,3,3,1,0,3,0,2,2,2,2,0,1,0,1,0,2,1,1,3,0,2,4,0,0,3,2,1,0,0,0,0,2,0,2,1,1,0,1,1,2,5,0,0,0,0,2,0,3,0,2,0,2
2310,1,3,1,2,2,2,1,1,0,0,2,0,0,2,0,0,2,0,0,0,0,0,3,0,0,2,8,0,0,2,0,5,0,2,1,1,1,1,1,1,8,1,1,0,1,2,1,2,0,0,2,4,1,2,0,4
2311,0,1,0,0,0,0,1,0,0,0,2,0,0,1,2,3,1,0,2,2,1,1,0,2,0,5,2,0,3,2,1,2,2,1,1,1,1,0,3,2,2,1,1,0,5,2,0,1,0,0,2,1,0,3,1,2
2312,2,2,0,1,1,3,0,1,3,1,2,2,2,0,0,1,2,1,0,1,2,2,3,0,2,1,0,0,3,1,1,0,0,0,0,0,0,1,1,0,0,1,1,2,6,0,0,0,0,0,3,2,1,1,1,3
2313,3,2,3,3,3,2,1,1,3,2,1,1,1,2,2,2,1,1,1,2,0,0,0,0,0,3,9,0,0,0,0,2,0,0,0,2,1,0,3,1,9,1,1,0,0,0,2,1,0,1,6,3,0,1,1,3
2314,1,1,1,0,0,2,2,0,0,1,2,2,2,2,0,3,1,1,2,1,0,0,3,0,1,5,7,0,0,2,0,4,0,2,2,0,1,1,2,3,7,1,1,1,2,2,0,2,3,1,0,2,3,0,1,0
2315,1,1,0,0,0,1,1,0,0,0,1,1,1,2,0,3,2,0,1,1,2,2,0,2,0,1,3,0,3,1,1,1,0,0,1,1,2,1,0,0,3,1,1,0,4,1,0,1,2,1,3,1,2,1,1,2
2316,2,1,1,0,0,0,1,0,0,1,0,1,1,0,0,3,2,0,1,1,0,0,1,2,1,0,10,0,3,1,2,2,2,2,2,0,4,0,3,2,10,1,1,1,3,2,0,2,2,1,0,0,2,1,0,1
2317,3,3,2,3,3,1,1,3,3,1,0,2,0,2,2,0,0,0,2,0,1,1,3,1,1,0,7,0,3,2,2,4,1,0,0,1,1,1,1,1,7,1,1,1,2,1,2,1,1,1,4,0,3,3,1,0
2318,1,1,0,0,0,3,3,1,0,0,0,0,0,0,0,1,2,0,0,2,0,0,2,2,0,3,10,0,3,1,0,2,0,0,0,2,4,2,0,3,10,2,2,2,0,0,2,0,2,1,5,4,0,1,0,1
2319,0,1,0,0,0,2,2,3,3,2,2,0,0,0,0,3,1,0,0,1,1,1,1,2,1,3,3,0,1,0,2,1,0,2,0,2,2,0,2,1,3,0,1,1,4,2,1,2,0,0,3,2,2,3,1,4
2320,1,0,1,2,2,1,1,1,0,0,0,0,1,2,2,1,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,2,0,2,1,2,0,3,2,1,4,2,2,2,5,3,2,1,0,0,0,3,2,2,0,3
2321,2,2,0,1,1,2,3,3,3,1,0,2,0,2,0,0,1,1,1,0,1,1,2,1,2,5,7,0,0,0,1,4,3,1,0,2,1,1,1,1,7,1,1,2,6,3,1,2,2,1,4,0,3,0,1,0
2322,1,1,3,1,1,3,1,2,2,2,0,1,0,1,1,0,0,1,0,0,1,1,3,0,1,0,1,1,2,2,1,1,0,1,2,0,1,0,1,1,1,2,2,2,2,3,1,0,3,1,3,1,1,1,0,1
2323,0,1,1,2,2,3,0,1,0,2,2,1,1,2,0,2,2,0,0,1,0,0,2,1,2,3,4,0,2,0,0,2,2,2,2,0,0,2,1,2,4,1,1,2,0,3,2,2,0,2,0,3,0,2,0,1
2324,1,2,0,1,1,0,1,0,1,1,1,2,2,2,0,2,2,1,1,1,1,1,3,0,1,1,4,0,2,2,1,2,2,0,2,0,0,2,3,2,4,1,1,1,4,2,2,0,0,2,0,3,0,2,0,3
2325,3,2,0,1,1,0,3,0,0,2,2,0,0,0,0,2,1,2,1,1,1,1,0,1,0,0,10,0,1,2,1,2,0,0,2,2,4,0,2,3,10,1,1,0,0,0,2,0,2,1,0,1,1,1,1,4
2326,1,1,2,0,0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,2,2,2,2,2,1,1,5,0,3,1,1,3,3,0,2,0,2,0,2,2,5,1,1,1,3,1,1,2,1,1,4,0,0,0,0,5
2327,0,2,2,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,1,0,1,4,4,0,1,2,2,2,0,1,2,0,0,3,2,2,4,2,0,0,3,0,0,2,2,2,6,3,2,2,0,3
2328,2,3,3,3,3,0,2,2,0,1,0,2,2,1,0,2,1,0,2,2,2,2,3,0,0,3,1,1,3,1,1,1,3,1,1,0,1,0,1,2,1,0,0,0,3,1,1,1,3,1,1,0,1,1,1,1
2329,3,0,1,1,1,2,2,0,1,0,2,0,0,2,0,2,1,2,1,1,2,2,1,2,2,3,0,0,1,1,1,0,2,1,0,2,0,0,1,2,0,0,0,2,5,2,0,0,3,0,0,4,0,0,1,0
2330,2,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,2,0,0,1,1,2,0,0,2,0,2,0,0,2,1,0,1,0,0,0,0,0,0,3,2,6,3,0,2,1,0
2331,2,2,0,1,1,3,1,3,3,0,0,0,0,1,1,2,0,1,1,0,1,1,0,2,1,5,0,0,0,0,1,0,2,1,0,2,0,1,3,2,0,1,1,1,5,0,0,0,0,2,0,4,0,2,0,0
2332,3,0,3,1,1,0,0,0,1,0,2,2,2,2,0,2,2,2,1,2,1,1,1,2,0,1,4,0,1,0,2,2,1,1,2,2,0,1,1,0,4,0,0,0,0,0,2,1,0,2,0,3,1,2,0,3
2333,3,2,0,3,3,0,2,2,0,2,2,1,0,2,2,1,1,1,1,0,1,1,2,1,0,1,5,0,1,2,1,3,1,0,2,0,2,1,1,0,5,1,1,0,6,3,0,2,1,1,2,4,0,0,0,3
2334,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,1,1,2,2,2,1,2,0,5,0,1,2,2,3,2,1,2,0,2,2,0,1,5,1,1,2,2,1,1,1,1,1,5,4,0,3,0,5
